;Objetivos;;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;TOTAL;;;;;;;Ticket;Colchones;;Living;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PRODUCCION CONSENSUADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Consensuado Sillones Equivalente;;792;886;1.000;1.100,00;1.150,00;1.200,00;1.500;1.500,00;1.518,00;;;;10.646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Consensuado Colchones unidad;;6.480;7.560;8.000;7.600,00;8.900,00;9.000,00;9.429;9.300,00;10.400,00;;;;76.669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Consensuado Block Equivalente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Consensuado  equivalente Unidades;;2.952;3.406;3.667;3.633,33;4.116,67;4.200,00;4.642,86;4.600,00;4.984,67;0,00;0,00;0,00;36.202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FACTURACION CONSENSUADO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Consensuado Sillones Equivalente;;792;886;1.056;1.100,00;1.150,00;1.200,00;1.500,00;1.500,00;1.518,00;;;;10.702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Consensuado Colchones unidad;;6.480;7.560;7.290;7.290,00;8.900,00;9.000,00;9.429,00;9.300,00;10.400,00;;;;75.649;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Consensuado Block Equivalente;;2.327;2.327;2.327;2.327;2.644,00;2.961,00;3.000,00;2.961,00;2.644,00;;;;23.518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Concensuado en $;; $1.351.576.386,25; $1.351.576.386,25; $1.641.659.942,57; $1.674.634.510,83; $2.014.186.725,91; $2.177.568.036,09; $2.177.568.036,09; $2.177.568.036,09; $2.112.488.563,03; $2.007.540.404,63; $1.890.119.394,91; $1.866.749.601,76; $22.443.236.024,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FACTURACION OBJETIVO $ CONSENSUADO;;1.230.421.968;1.452.326.486;1.542.646.884;1.715.976.523;2.052.560.069;2.139.527.752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Consensuado Sillones $;; $349.245.206,64; $402.416.907,42; $479.630.083,79; $524.595.404,14; $548.440.649,78; $572.285.895,43; $751.125.237,75; $751.125.237,75; $760.138.740,60; $0,00; $0,00; $0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Consensuado Colchones $;; $837.326.289,60; $1.006.187.091,34; $1.018.764.429,98; $1.147.128.748,15; $1.456.491.590,25; $1.517.042.364,23; $1.589.354.716,92; $1.567.610.443,03; $1.753.026.732,00; $0,00; $0,00; $0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Consensuado Block $;; $18.877.787,50; $18.749.802,50; $18.877.787,50; $18.877.787,50; $21.449.450,00; $24.021.112,50; $24.021.112,50; $24.021.112,50; $21.449.450,00; $21.449.450,00; $20.589.525,00; $20.589.525,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Concensuado reventa $;; $24.972.684,44; $24.972.684,44; $25.374.582,75; $25.374.582,75; $26.178.379,36; $26.178.379,36; $26.178.379,36; $26.178.379,36; $25.776.481,05; $25.776.481,05; $25.776.481,05; $25.776.481,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Consensuado  equivalente Unidades;;2.991;3.445;3.525;3.569;4.161;4.249;4.693;4.649;5.029;0;0;0;36.310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;OBJETIVO TICKET / DOLAR;; $1.465,00; $1.465,00; $1.405,00; $1.451,37; $1.451,37; $1.451,37; $1.499,26; $1.499,26; $1.499,26; $1.548,74; $1.548,74; $1.548,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sillones Equivalente;; $440.966,17; $454.195,16; $454.195,16; $476.904,91; $476.904,91; $476.904,91; $500.750,16; $500.750,16; $500.750,16; $500.750,16; $500.750,16; $500.750,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;3,00%;0,00%;5,00%;0,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Colchones;; $129.217,02; $133.093,53; $139.748,21; $157.356,48; $163.650,74; $168.560,26; $168.560,26; $168.560,26; $168.560,26; $168.560,26; $168.560,26; $168.560,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;3,00%;5,00%;12,60%;4,00%;3,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Block en kilogramos;; $8.057,50; $8.057,50; $7.727,50; $10.885,24; $10.885,24; $10.885,24; $11.244,45; $11.244,45; $11.244,45; $11.615,52; $11.615,52; $11.615,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
