Lista de Materiales — tal como la entregó Sistemas;;;;
56.207 líneas: Modelo -> Insumo -> Cantidad por unidad. Es el insumo base de todos los cálculos de este archivo.;;;;
;;;;
Modelo (base);Insumo (materia prima);Cantidad por unidad;UdM;
MISSANA(L), SOFA-2CPOS(-20);T9 (OCTOATO DE ESTAAÑO)       ;13,5419;g;
MISSANA(L), SOFA-2CPOS(-20);VORANOL 3011 (POLIOL)         ;5705,9213;g;
MISSANA(L), SOFA-2CPOS(-20);CLORURO DE METILENO           ;271,8901;g;
MISSANA(L), SOFA-2CPOS(-20);SILICONA2 - B 8123 / 580      ;59,4445;g;
MISSANA(L), SOFA-2CPOS(-20);PASTA NEGRA;9,9774;g;
MISSANA(L), SOFA-2CPOS(-20);SILICONA1 B 8228 - 594        ;28,5246;g;
MISSANA(L), SOFA-2CPOS(-20);PASTA ROJA                    ;2,028;g;
MISSANA(L), SOFA-2CPOS(-20);Cascara;2,36;kg;
MISSANA(L), SOFA-2CPOS(-20);FIBRA HUECA/CONJ/SIL15DX64(VEL;1,6;kg;
MISSANA(L), SOFA-2CPOS(-20);AUT HEX. MAD P AGU T2 12X1 1/2;10;Units;
MISSANA(L), SOFA-2CPOS(-20);AUT HEX. MAD P AGU T2 12X2;9;Units;
MISSANA(L), SOFA-2CPOS(-20);ABROJO FELPA NRO 5 (ESTANDAR);0,92;m;
MISSANA(L), SOFA-2CPOS(-20);ABROJO PINCHE NRO 5 (ESTANDAR);0,92;m;
MISSANA(L), SOFA-2CPOS(-20);CADENA NYLON N 5 (ESTANDAR);6,82;m;
MISSANA(L), SOFA-2CPOS(-20);CINCHA ELASTICA ASIENTO;8,4;m;
MISSANA(L), SOFA-2CPOS(-20);DESLIZADOR NRO 5;8;Units;
MISSANA(L), SOFA-2CPOS(-20);ETIQUETA BORDAD LIVING;1;Units;
MISSANA(L), SOFA-2CPOS(-20);GRAMPA 84/14;0,56;Unidad de Mil;
MISSANA(L), SOFA-2CPOS(-20);GRAMPA 84/8;0,88;Unidad de Mil;
MISSANA(L), SOFA-2CPOS(-20);GRAMPA 92/40;0,45;Unidad de Mil;
MISSANA(L), SOFA-2CPOS(-20);GUATA 100G 150M;3,67;m;
MISSANA(L), SOFA-2CPOS(-20);HILO VAHE (ESTANDAR) X;50;m;
MISSANA(L), SOFA-2CPOS(-20);LIENZO ALPILLERA 0.50;1,84;m;
MISSANA(L), SOFA-2CPOS(-20);LIENZO TNT 75 ANCHO (ALPILL);1,48;m;
MISSANA(L), SOFA-2CPOS(-20);LIENZO TNT 90 ANCHO (ALPILL);1,82;m;
MISSANA(L), SOFA-2CPOS(-20);NYLON BOLSA 189X280X80 (LEAN);1;Units;
MISSANA(L), SOFA-2CPOS(-20);PCP-35(REGATON 70X35);1;Units;
MISSANA(L), SOFA-2CPOS(-20);TNT 120G - 1,5M - BLANCO/NEGRO;0,79;m;
MISSANA(L), SOFA-2CPOS(-20);TNT 30G - 1,5M - BLANCO;1,62;m;
MISSANA(L), SOFA-2CPOS(-20);FLP 05-40 (REG100X100X40);4;Units;
MISSANA(L), SOFA-2CPOS(-20);FILM STRETCH50CM 23 MIC INDUST;0,32;kg;
ONIX, SOFA-2/3CPOS(STD);CORTE DE TELA 1;1;Units;
ONIX, SOFA-2/3CPOS(STD);LISTON 1X2X0,580;0,63;ft²;
ONIX, SOFA-2/3CPOS(STD);LISTON 1X2X0,700;0,77;ft²;
ONIX, SOFA-2/3CPOS(STD);LISTON 1X2X0,920;2,01;ft²;
ONIX, SOFA-2/3CPOS(STD);LISTON 1X2X1,520;2,49;ft²;
ONIX, SOFA-2/3CPOS(STD);LISTON 1X2X1,850;2,72;ft²;
ONIX, SOFA-2/3CPOS(STD);LISTON 1X3X0,920;6,04;ft²;
ONIX, SOFA-2/3CPOS(STD);LISTON 1X3X1,520;4,99;ft²;
ONIX, SOFA-2/3CPOS(STD);MDF 15MM;1,98;m²;
ONIX, SOFA-2/3CPOS(STD);CHAPADUR 3MM                  ;1,82;m²;
ONIX, SOFA-2/3CPOS(STD);AMINA                         ;15,6362;g;
ONIX, SOFA-2/3CPOS(STD);TDI (DI ISIOCANATO DE TOLUENO);3620,7132;g;
ONIX, SOFA-2/3CPOS(STD);PASTA AMARILLA;1,6432;g;
ONIX, SOFA-2/3CPOS(STD);T9 (OCTOATO DE ESTAAÑO)       ;18,0286;g;
ONIX, SOFA-2/3CPOS(STD);VORANOL 3011 (POLIOL)         ;6598,8156;g;
ONIX, SOFA-2/3CPOS(STD);CLORURO DE METILENO           ;319,9119;g;
ONIX, SOFA-2/3CPOS(STD);SILICONA2 - B 8123 / 580      ;21,409;g;
ONIX, SOFA-2/3CPOS(STD);VORANOL 3943 (COPO)           ;702,8085;g;
ONIX, SOFA-2/3CPOS(STD);SILICONA1 B 8228 - 594        ;77,722;g;
ONIX, SOFA-2/3CPOS(STD);PASTA ROJA                    ;3,03;g;
ONIX, SOFA-2/3CPOS(STD);Cascara;2,36;kg;
ONIX, SOFA-2/3CPOS(STD);PASTA NEGRA;2,31;g;
ONIX, SOFA-2/3CPOS(STD);PASTA AZUL;9,2785;g;
ONIX, SOFA-2/3CPOS(STD);FIBRA HUECA/CONJ/SIL15DX64(VEL;5,2;kg;
ONIX, SOFA-2/3CPOS(STD);ABROJO FELPA NRO 5 (ESTANDAR);2,94;m;
ONIX, SOFA-2/3CPOS(STD);ABROJO PINCHE NRO 5 (ESTANDAR);2,94;m;
ONIX, SOFA-2/3CPOS(STD);AUT HEX. MAD P AGU T2 12X1 1/2;12;Units;
ONIX, SOFA-2/3CPOS(STD);AUT HEX. MAD P AGU T2 12X2;11;Units;
ONIX, SOFA-2/3CPOS(STD);BASE DESPLAZABLE (3PZA);2;Units;
ONIX, SOFA-2/3CPOS(STD);CABECEROS (3 PZA);2;Units;
ONIX, SOFA-2/3CPOS(STD);CADENA NYLON N 5 (ESTANDAR);9,84;m;
ONIX, SOFA-2/3CPOS(STD);DESLIZADOR NRO 5;10;Units;
ONIX, SOFA-2/3CPOS(STD);GRAMPA 84/14;0,44;Unidad de Mil;
ONIX, SOFA-2/3CPOS(STD);GRAMPA 84/8;0,94;Unidad de Mil;
ONIX, SOFA-2/3CPOS(STD);GRAMPA 92/40;0,6;Unidad de Mil;
ONIX, SOFA-2/3CPOS(STD);GUATA 100G 150M;2,51;m;
ONIX, SOFA-2/3CPOS(STD);GUATA 200G 150M;1,87;m;
ONIX, SOFA-2/3CPOS(STD);LIENZO TNT 75 ANCHO (ALPILL);1,62;m;
ONIX, SOFA-2/3CPOS(STD);LIENZO TNT 110 ANCHO (ALPILL);1,97;m;
ONIX, SOFA-2/3CPOS(STD);NYLON BOLSA 189X330X80 (LEAN);1;Units;
ONIX, SOFA-2/3CPOS(STD);PCP-65 (REGATON 70X65);1;Units;
ONIX, SOFA-2/3CPOS(STD);PLANCHA CARTON 2500X1610 (ONIX;2;Units;
ONIX, SOFA-2/3CPOS(STD);PRECINTO 200X3.6;12;Units;
ONIX, SOFA-2/3CPOS(STD);REGATON BASTON 10*80P/PRECINTO;12;Units;
ONIX, SOFA-2/3CPOS(STD);TNT 30G - 1,5M - BLANCO;6,08;m;
ONIX, SOFA-2/3CPOS(STD);TNT 60G - 1,5M - BLANCO/NEGRO;0,1;m;
ONIX, SOFA-2/3CPOS(STD);TORNILLO P/MADERA 3.5X25;32;Units;
ONIX, SOFA-2/3CPOS(STD);FLA 53-70 (TACO ALTO);4;Units;
DONATO(L)- RINCONERO ALM. FIJO;CORTE DE TELA 1;1;Units;
DONATO(L)- RINCONERO ALM. FIJO;LISTON 1X2X0,580;0,63;ft²;
DONATO(L)- RINCONERO ALM. FIJO;LISTON 1X2X0,630;1,38;ft²;
DONATO(L)- RINCONERO ALM. FIJO;LISTON 1X2X0,720;1,97;ft²;
DONATO(L)- RINCONERO ALM. FIJO;LISTON 1X2X0,800;3,5;ft²;
DONATO(L)- RINCONERO ALM. FIJO;LISTON 1X2X1,850;11,23;ft²;
DONATO(L)- RINCONERO ALM. FIJO;LISTON 1X3X0,800;3,94;ft²;
DONATO(L)- RINCONERO ALM. FIJO;LISTON 1X3X1,050;3,44;ft²;
DONATO(L)- RINCONERO ALM. FIJO;LISTON 1X3X1,340;4,4;ft²;
DONATO(L)- RINCONERO ALM. FIJO;LISTON 1X3X1,850;1,18;ft²;
DONATO(L)- RINCONERO ALM. FIJO;MDF 9MM                       ;1,89;m²;
DONATO(L)- RINCONERO ALM. FIJO;CHAPADUR 3MM                  ;0,77;m²;
DONATO(L)- RINCONERO ALM. FIJO;AMINA                         ;8,8737;g;
DONATO(L)- RINCONERO ALM. FIJO;TDI (DI ISIOCANATO DE TOLUENO);2296,9704;g;
DONATO(L)- RINCONERO ALM. FIJO;PASTA AMARILLA;1,2272;g;
DONATO(L)- RINCONERO ALM. FIJO;T9 (OCTOATO DE ESTAAÑO)       ;9,4899;g;
DONATO(L)- RINCONERO ALM. FIJO;VORANOL 3011 (POLIOL)         ;3578,4349;g;
DONATO(L)- RINCONERO ALM. FIJO;CLORURO DE METILENO           ;89,9514;g;
DONATO(L)- RINCONERO ALM. FIJO;SILICONA2 - B 8123 / 580      ;15,989;g;
