Lista de Materiales — tal como la entregó Sistemas;;;;
56.207 líneas: Modelo -> Insumo -> Cantidad por unidad. Es el insumo base de todos los cálculos de este archivo.;;;;
;;;;
Modelo (base);Insumo (materia prima);Cantidad por unidad;UdM;
ESPUMA PURITY 140X190X28EURO P;NYLON VIRGEN 2200MM (STDR);0,76;kg;
ESPUMA PURITY 140X190X28EURO P;CEMENTO SOLIDEX 0777 FC 0782MV;0,34;kg;
ESPUMA PURITY 140X190X28EURO P;FAJA GARANTIA SIN MARCA;1;Units;
ESPUMA PURITY 140X190X28EURO P;HILO VAHE (ESTANDAR) X;84,56;m;
ESPUMA PURITY 140X190X28EURO P;VIVO NEGRO BASTON GRIS 35MM;28,35;m;
ESPUMA PURITY 160X200X28EURO P;V406;1,59;m;
ESPUMA PURITY 160X200X28EURO P;TNT 13G - 2,2M - BLANCO;4,99;m;
ESPUMA PURITY 160X200X28EURO P;AMINA                         ;30,3511;g;
ESPUMA PURITY 160X200X28EURO P;VORANOL 3943 (COPO)           ;2712,899;g;
ESPUMA PURITY 160X200X28EURO P;TDI (DI ISIOCANATO DE TOLUENO);7548,9283;g;
ESPUMA PURITY 160X200X28EURO P;GLICERINA;3,6445;g;
ESPUMA PURITY 160X200X28EURO P;PASTA AZUL;23,6791;g;
ESPUMA PURITY 160X200X28EURO P;T9 (OCTOATO DE ESTAAÑO)       ;33,2024;g;
ESPUMA PURITY 160X200X28EURO P;VORANOL 3011 (POLIOL)         ;12201,0681;g;
ESPUMA PURITY 160X200X28EURO P;CLORURO DE METILENO           ;423,9387;g;
ESPUMA PURITY 160X200X28EURO P;SILICONA2 - B 8123 / 580      ;1,4768;g;
ESPUMA PURITY 160X200X28EURO P;HILO VAHE POLI 80 BLANCO (copia);498,64;m;
ESPUMA PURITY 160X200X28EURO P;HILO VAHE 300T BLANCO (copia);5,97;g;
ESPUMA PURITY 160X200X28EURO P;V2471;3,4;m;
ESPUMA PURITY 160X200X28EURO P;SILICONA1 B 8228 - 594        ;178,7134;g;
ESPUMA PURITY 160X200X28EURO P;PASTA NEGRA;3,9;g;
ESPUMA PURITY 160X200X28EURO P;NYLON VIRGEN 2300MM (STDR);0,92;kg;
ESPUMA PURITY 160X200X28EURO P;CEMENTO SOLIDEX 0777 FC 0782MV;0,36;kg;
ESPUMA PURITY 160X200X28EURO P;FAJA GARANTIA SIN MARCA;1;Units;
ESPUMA PURITY 160X200X28EURO P;HILO VAHE (ESTANDAR) X;95,79;m;
ESPUMA PURITY 160X200X28EURO P;VIVO NEGRO BASTON GRIS 35MM;30,87;m;
ESPUMA PURITY 180X200X28EURO P;V406;1,59;m;
ESPUMA PURITY 180X200X28EURO P;TNT 13G - 2,2M - BLANCO;5,41;m;
ESPUMA PURITY 180X200X28EURO P;AMINA                         ;34,1916;g;
ESPUMA PURITY 180X200X28EURO P;VORANOL 3943 (COPO)           ;3054,1362;g;
ESPUMA PURITY 180X200X28EURO P;TDI (DI ISIOCANATO DE TOLUENO);8497,2469;g;
ESPUMA PURITY 180X200X28EURO P;GLICERINA;4,0701;g;
ESPUMA PURITY 180X200X28EURO P;PASTA AZUL;26,6955;g;
ESPUMA PURITY 180X200X28EURO P;T9 (OCTOATO DE ESTAAÑO)       ;37,3932;g;
ESPUMA PURITY 180X200X28EURO P;VORANOL 3011 (POLIOL)         ;13741,1158;g;
ESPUMA PURITY 180X200X28EURO P;CLORURO DE METILENO           ;477,2287;g;
ESPUMA PURITY 180X200X28EURO P;SILICONA2 - B 8123 / 580      ;1,4768;g;
ESPUMA PURITY 180X200X28EURO P;HILO VAHE POLI 80 BLANCO (copia);531,06;m;
ESPUMA PURITY 180X200X28EURO P;HILO VAHE 300T BLANCO (copia);6,27;g;
ESPUMA PURITY 180X200X28EURO P;V2471;3,82;m;
ESPUMA PURITY 180X200X28EURO P;SILICONA1 B 8228 - 594        ;201,3817;g;
ESPUMA PURITY 180X200X28EURO P;PASTA NEGRA;4,404;g;
ESPUMA PURITY 180X200X28EURO P;NYLON VIRGEN 2300MM (STDR);1,01;kg;
ESPUMA PURITY 180X200X28EURO P;CEMENTO SOLIDEX 0777 FC 0782MV;0,44;kg;
ESPUMA PURITY 180X200X28EURO P;FAJA GARANTIA SIN MARCA;1;Units;
ESPUMA PURITY 180X200X28EURO P;HILO VAHE (ESTANDAR) X;96,58;m;
ESPUMA PURITY 180X200X28EURO P;VIVO NEGRO BASTON GRIS 35MM;32,55;m;
ESPUMA PURITY 200X200X28EURO P;V406;1,85;m;
ESPUMA PURITY 200X200X28EURO P;TNT 13G - 2,2M - BLANCO;6,09;m;
ESPUMA PURITY 200X200X28EURO P;AMINA                         ;38,0088;g;
ESPUMA PURITY 200X200X28EURO P;VORANOL 3943 (COPO)           ;3395,9904;g;
ESPUMA PURITY 200X200X28EURO P;TDI (DI ISIOCANATO DE TOLUENO);9443,8346;g;
ESPUMA PURITY 200X200X28EURO P;GLICERINA;4,508;g;
ESPUMA PURITY 200X200X28EURO P;PASTA AZUL;29,6766;g;
ESPUMA PURITY 200X200X28EURO P;T9 (OCTOATO DE ESTAAÑO)       ;41,5592;g;
ESPUMA PURITY 200X200X28EURO P;VORANOL 3011 (POLIOL)         ;15272,2534;g;
ESPUMA PURITY 200X200X28EURO P;CLORURO DE METILENO           ;530,0352;g;
ESPUMA PURITY 200X200X28EURO P;SILICONA2 - B 8123 / 580      ;1,5904;g;
ESPUMA PURITY 200X200X28EURO P;HILO VAHE POLI 80 BLANCO (copia);598,98;m;
ESPUMA PURITY 200X200X28EURO P;HILO VAHE 300T BLANCO (copia);7,16;g;
ESPUMA PURITY 200X200X28EURO P;V2471;4,24;m;
ESPUMA PURITY 200X200X28EURO P;SILICONA1 B 8228 - 594        ;223,827;g;
ESPUMA PURITY 200X200X28EURO P;PASTA NEGRA;4,896;g;
ESPUMA PURITY 200X200X28EURO P;NYLON VIRGEN 2300MM (STDR);1,1;kg;
ESPUMA PURITY 200X200X28EURO P;CEMENTO SOLIDEX 0777 FC 0782MV;0,46;kg;
ESPUMA PURITY 200X200X28EURO P;FAJA GARANTIA SIN MARCA;1;Units;
ESPUMA PURITY 200X200X28EURO P;HILO VAHE (ESTANDAR) X;110,8;m;
ESPUMA PURITY 200X200X28EURO P;VIVO NEGRO BASTON GRIS 35MM;34,23;m;
TAP-EPURI8019028E;V406;1,12;m;
TAP-EPURI8019028E;TNT 13G - 2,2M - BLANCO;2,84;m;
TAP-EPURI8019028E;AMINA                         ;14,3009;g;
TAP-EPURI8019028E;VORANOL 3943 (COPO)           ;1275,5024;g;
TAP-EPURI8019028E;TDI (DI ISIOCANATO DE TOLUENO);3565,2344;g;
TAP-EPURI8019028E;GLICERINA;1,7722;g;
TAP-EPURI8019028E;PASTA AZUL;11,1836;g;
TAP-EPURI8019028E;T9 (OCTOATO DE ESTAAÑO)       ;15,6734;g;
TAP-EPURI8019028E;VORANOL 3011 (POLIOL)         ;5758,6665;g;
TAP-EPURI8019028E;CLORURO DE METILENO           ;201,9228;g;
TAP-EPURI8019028E;SILICONA2 - B 8123 / 580      ;1,136;g;
TAP-EPURI8019028E;HILO VAHE POLI 80 BLANCO (copia);297,83;m;
TAP-EPURI8019028E;HILO VAHE 300T BLANCO (copia);3,65;g;
TAP-EPURI8019028E;V2471;1,72;m;
TAP-EPURI8019028E;SILICONA1 B 8228 - 594        ;84,0741;g;
TAP-EPURI8019028E;PASTA NEGRA;1,836;g;
TAP-EPURI8019028E;NYLON VIRGEN 2200MM (STDR);0,51;kg;
TAP-EPURI8019028E;CEMENTO SOLIDEX 0777 FC 0782MV;0,2;kg;
TAP-EPURI8019028E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-EPURI8019028E;HILO VAHE (ESTANDAR) X;68,05;m;
TAP-EPURI8019028E;VIVO NEGRO BASTON GRIS 35MM;23,31;m;
TAP-EPURI9019028E;V406;1,24;m;
TAP-EPURI9019028E;TNT 13G - 2,2M - BLANCO;3,18;m;
TAP-EPURI9019028E;AMINA                         ;16,0934;g;
TAP-EPURI9019028E;VORANOL 3943 (COPO)           ;1436,8204;g;
TAP-EPURI9019028E;TDI (DI ISIOCANATO DE TOLUENO);4010,8654;g;
TAP-EPURI9019028E;GLICERINA;1,985;g;
TAP-EPURI9019028E;PASTA AZUL;12,5666;g;
TAP-EPURI9019028E;T9 (OCTOATO DE ESTAAÑO)       ;17,6308;g;
TAP-EPURI9019028E;VORANOL 3011 (POLIOL)         ;6478,1762;g;
TAP-EPURI9019028E;CLORURO DE METILENO           ;226,4954;g;
TAP-EPURI9019028E;SILICONA2 - B 8123 / 580      ;1,136;g;
TAP-EPURI9019028E;HILO VAHE POLI 80 BLANCO (copia);329,94;m;
TAP-EPURI9019028E;HILO VAHE 300T BLANCO (copia);4,07;g;
TAP-EPURI9019028E;V2471;1,94;m;
TAP-EPURI9019028E;SILICONA1 B 8228 - 594        ;94,6828;g;
TAP-EPURI9019028E;PASTA NEGRA;2,064;g;
TAP-EPURI9019028E;NYLON VIRGEN 2200MM (STDR);0,55;kg;
TAP-EPURI9019028E;CEMENTO SOLIDEX 0777 FC 0782MV;0,24;kg;
TAP-EPURI9019028E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-EPURI9019028E;HILO VAHE (ESTANDAR) X;74,71;m;
TAP-EPURI9019028E;VIVO NEGRO BASTON GRIS 35MM;24,15;m;
TAP-EPURI10019028E;V406;1,24;m;
TAP-EPURI10019028E;TNT 13G - 2,2M - BLANCO;3,38;m;
TAP-EPURI10019028E;AMINA                         ;17,9324;g;
TAP-EPURI10019028E;VORANOL 3943 (COPO)           ;1600,2052;g;
TAP-EPURI10019028E;TDI (DI ISIOCANATO DE TOLUENO);4466,1898;g;
TAP-EPURI10019028E;GLICERINA;2,1978;g;
TAP-EPURI10019028E;PASTA AZUL;14,0042;g;
TAP-EPURI10019028E;T9 (OCTOATO DE ESTAAÑO)       ;19,6412;g;
TAP-EPURI10019028E;VORANOL 3011 (POLIOL)         ;7216,9176;g;
TAP-EPURI10019028E;CLORURO DE METILENO           ;252,1042;g;
TAP-EPURI10019028E;SILICONA2 - B 8123 / 580      ;1,136;g;
TAP-EPURI10019028E;HILO VAHE POLI 80 BLANCO (copia);345,35;m;
TAP-EPURI10019028E;HILO VAHE 300T BLANCO (copia);4,21;g;
TAP-EPURI10019028E;V2471;2,14;m;
TAP-EPURI10019028E;SILICONA1 B 8228 - 594        ;105,5766;g;
TAP-EPURI10019028E;PASTA NEGRA;2,304;g;
TAP-EPURI10019028E;NYLON VIRGEN 2200MM (STDR);0,6;kg;
TAP-EPURI10019028E;CEMENTO SOLIDEX 0777 FC 0782MV;0,26;kg;
TAP-EPURI10019028E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-EPURI10019028E;HILO VAHE (ESTANDAR) X;75,1;m;
TAP-EPURI10019028E;VIVO NEGRO BASTON GRIS 35MM;25;m;
TAP-EPURI13019028E;V406;1,4;m;
TAP-EPURI13019028E;TNT 13G - 2,2M - BLANCO;4,18;m;
TAP-EPURI13019028E;AMINA                         ;23,3598;g;
TAP-EPURI13019028E;VORANOL 3943 (COPO)           ;2087,6046;g;
TAP-EPURI13019028E;TDI (DI ISIOCANATO DE TOLUENO);5812,7387;g;
TAP-EPURI13019028E;GLICERINA;2,8219;g;
TAP-EPURI13019028E;PASTA AZUL;18,2271;g;
TAP-EPURI13019028E;T9 (OCTOATO DE ESTAAÑO)       ;25,5622;g;
TAP-EPURI13019028E;VORANOL 3011 (POLIOL)         ;9393,2736;g;
TAP-EPURI13019028E;CLORURO DE METILENO           ;326,8003;g;
TAP-EPURI13019028E;SILICONA2 - B 8123 / 580      ;1,2496;g;
TAP-EPURI13019028E;HILO VAHE POLI 80 BLANCO (copia);412,49;m;
TAP-EPURI13019028E;HILO VAHE 300T BLANCO (copia);4,99;g;
TAP-EPURI13019028E;V2471;2,78;m;
TAP-EPURI13019028E;SILICONA1 B 8228 - 594        ;137,5201;g;
TAP-EPURI13019028E;PASTA NEGRA;3;g;
TAP-EPURI13019028E;NYLON VIRGEN 2200MM (STDR);0,72;kg;
TAP-EPURI13019028E;CEMENTO SOLIDEX 0777 FC 0782MV;0,3;kg;
TAP-EPURI13019028E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-EPURI13019028E;HILO VAHE (ESTANDAR) X;84,17;m;
TAP-EPURI13019028E;VIVO NEGRO BASTON GRIS 35MM;27,51;m;
TAP-EPURI14019028E;V406;1,4;m;
TAP-EPURI14019028E;TNT 13G - 2,2M - BLANCO;4,38;m;
TAP-EPURI14019028E;AMINA                         ;25,2081;g;
TAP-EPURI14019028E;VORANOL 3943 (COPO)           ;2251,6064;g;
TAP-EPURI14019028E;TDI (DI ISIOCANATO DE TOLUENO);6272,369;g;
TAP-EPURI14019028E;GLICERINA;3,047;g;
TAP-EPURI14019028E;PASTA AZUL;19,6776;g;
TAP-EPURI14019028E;T9 (OCTOATO DE ESTAAÑO)       ;27,588;g;
TAP-EPURI14019028E;VORANOL 3011 (POLIOL)         ;10137,5163;g;
TAP-EPURI14019028E;CLORURO DE METILENO           ;352,9618;g;
TAP-EPURI14019028E;SILICONA2 - B 8123 / 580      ;1,3632;g;
TAP-EPURI14019028E;HILO VAHE POLI 80 BLANCO (copia);427,9;m;
TAP-EPURI14019028E;HILO VAHE 300T BLANCO (copia);5,13;g;
TAP-EPURI14019028E;V2471;2,98;m;
TAP-EPURI14019028E;SILICONA1 B 8228 - 594        ;148,4139;g;
TAP-EPURI14019028E;PASTA NEGRA;3,24;g;
TAP-EPURI14019028E;NYLON VIRGEN 2200MM (STDR);0,76;kg;
TAP-EPURI14019028E;CEMENTO SOLIDEX 0777 FC 0782MV;0,34;kg;
TAP-EPURI14019028E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-EPURI14019028E;HILO VAHE (ESTANDAR) X;84,56;m;
TAP-EPURI14019028E;VIVO NEGRO BASTON GRIS 35MM;28,35;m;
TAP-EPURI16020028E;V406;1,59;m;
TAP-EPURI16020028E;TNT 13G - 2,2M - BLANCO;4,99;m;
TAP-EPURI16020028E;AMINA                         ;30,3511;g;
TAP-EPURI16020028E;VORANOL 3943 (COPO)           ;2712,899;g;
TAP-EPURI16020028E;TDI (DI ISIOCANATO DE TOLUENO);7548,9283;g;
TAP-EPURI16020028E;GLICERINA;3,6445;g;
TAP-EPURI16020028E;PASTA AZUL;23,6791;g;
TAP-EPURI16020028E;T9 (OCTOATO DE ESTAAÑO)       ;33,2024;g;
TAP-EPURI16020028E;VORANOL 3011 (POLIOL)         ;12201,0681;g;
TAP-EPURI16020028E;CLORURO DE METILENO           ;423,9387;g;
TAP-EPURI16020028E;SILICONA2 - B 8123 / 580      ;1,4768;g;
TAP-EPURI16020028E;HILO VAHE POLI 80 BLANCO (copia);498,64;m;
TAP-EPURI16020028E;HILO VAHE 300T BLANCO (copia);5,97;g;
TAP-EPURI16020028E;V2471;3,4;m;
TAP-EPURI16020028E;SILICONA1 B 8228 - 594        ;178,7134;g;
TAP-EPURI16020028E;PASTA NEGRA;3,9;g;
TAP-EPURI16020028E;NYLON VIRGEN 2300MM (STDR);0,92;kg;
TAP-EPURI16020028E;CEMENTO SOLIDEX 0777 FC 0782MV;0,36;kg;
TAP-EPURI16020028E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-EPURI16020028E;HILO VAHE (ESTANDAR) X;95,79;m;
TAP-EPURI16020028E;VIVO NEGRO BASTON GRIS 35MM;30,87;m;
TAP-EPURI18020028E;V406;1,59;m;
TAP-EPURI18020028E;TNT 13G - 2,2M - BLANCO;5,41;m;
TAP-EPURI18020028E;AMINA                         ;34,1916;g;
TAP-EPURI18020028E;VORANOL 3943 (COPO)           ;3054,1362;g;
TAP-EPURI18020028E;TDI (DI ISIOCANATO DE TOLUENO);8497,2469;g;
TAP-EPURI18020028E;GLICERINA;4,0701;g;
TAP-EPURI18020028E;PASTA AZUL;26,6955;g;
TAP-EPURI18020028E;T9 (OCTOATO DE ESTAAÑO)       ;37,3932;g;
TAP-EPURI18020028E;VORANOL 3011 (POLIOL)         ;13741,1158;g;
TAP-EPURI18020028E;CLORURO DE METILENO           ;477,2287;g;
TAP-EPURI18020028E;SILICONA2 - B 8123 / 580      ;1,4768;g;
TAP-EPURI18020028E;HILO VAHE POLI 80 BLANCO (copia);531,06;m;
TAP-EPURI18020028E;HILO VAHE 300T BLANCO (copia);6,27;g;
TAP-EPURI18020028E;V2471;3,82;m;
TAP-EPURI18020028E;SILICONA1 B 8228 - 594        ;201,3817;g;
TAP-EPURI18020028E;PASTA NEGRA;4,404;g;
TAP-EPURI18020028E;NYLON VIRGEN 2300MM (STDR);1,01;kg;
TAP-EPURI18020028E;CEMENTO SOLIDEX 0777 FC 0782MV;0,44;kg;
TAP-EPURI18020028E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-EPURI18020028E;HILO VAHE (ESTANDAR) X;96,58;m;
TAP-EPURI18020028E;VIVO NEGRO BASTON GRIS 35MM;32,55;m;
TAP-EPURI20020028E;V406;1,85;m;
TAP-EPURI20020028E;TNT 13G - 2,2M - BLANCO;6,09;m;
TAP-EPURI20020028E;AMINA                         ;38,0088;g;
TAP-EPURI20020028E;VORANOL 3943 (COPO)           ;3395,9904;g;
TAP-EPURI20020028E;TDI (DI ISIOCANATO DE TOLUENO);9443,8346;g;
TAP-EPURI20020028E;GLICERINA;4,508;g;
TAP-EPURI20020028E;PASTA AZUL;29,6766;g;
TAP-EPURI20020028E;T9 (OCTOATO DE ESTAAÑO)       ;41,5592;g;
TAP-EPURI20020028E;VORANOL 3011 (POLIOL)         ;15272,2534;g;
TAP-EPURI20020028E;CLORURO DE METILENO           ;530,0352;g;
TAP-EPURI20020028E;SILICONA2 - B 8123 / 580      ;1,5904;g;
TAP-EPURI20020028E;HILO VAHE POLI 80 BLANCO (copia);598,98;m;
TAP-EPURI20020028E;HILO VAHE 300T BLANCO (copia);7,16;g;
TAP-EPURI20020028E;V2471;4,24;m;
TAP-EPURI20020028E;SILICONA1 B 8228 - 594        ;223,827;g;
TAP-EPURI20020028E;PASTA NEGRA;4,896;g;
TAP-EPURI20020028E;NYLON VIRGEN 2300MM (STDR);1,1;kg;
TAP-EPURI20020028E;CEMENTO SOLIDEX 0777 FC 0782MV;0,46;kg;
TAP-EPURI20020028E;FAJA GARANTIA SIN MARCA;1;Units;
TAP-EPURI20020028E;HILO VAHE (ESTANDAR) X;110,8;m;
TAP-EPURI20020028E;VIVO NEGRO BASTON GRIS 35MM;34,23;m;
MECANISMO ELÉCTRICO 8102D;LATERAL DERECHO MEC. 8102D;1;Units;
MECANISMO ELÉCTRICO 8102D;LATERAL IZQUIERDO MEC. 8102D;1;Units;
MECANISMO ELÉCTRICO 8102D;TUBO ACERO MEC. L461,9 ;1;Units;
MECANISMO ELÉCTRICO 8102D;TUBO CUADRADO ACERO MEC. L568,4;1;Units;
MECANISMO ELÉCTRICO 8102D;TUBO RIEL ACERO MEC. L488,95;2;Units;
MECANISMO ELÉCTRICO 8102D;TUBO SOPORTE RIEL ACERO MEC. L425,5;1;Units;
MECANISMO ELÉCTRICO 8102D;TUBO ESTABILIZADOR  RIEL ACERO L444,5;2;Units;
MECANISMO ELÉCTRICO 8102D;BRAZO METALICO DERECHO MEC. 8102D;1;Units;
MECANISMO ELÉCTRICO 8102D;BRAZO METALICO IZQUIERDO MEC. 8102D;1;Units;
MECANISMO ELÉCTRICO 8102D;TORNILLO AUTORROSCANTE M7 X 23 mm;4;Units;
MECANISMO ELÉCTRICO 8102D;TORNILLO AUTORROSCANTE 13 mm;16;Units;
MECANISMO ELÉCTRICO 8102D;TORNILLO AUTORROSCANTE M7 X 30 mm;4;Units;
MECANISMO ELÉCTRICO 8102D;TORNILLO AUTORROSCANTE 18-M7 X 18 mm;4;Units;
MECANISMO ELÉCTRICO 8102D;PATA PLASTICA MECANISMO;4;Units;
MECANISMO ELÉCTRICO 8102D;RESORTE 8102D;2;Units;
MECANISMO ELÉCTRICO 8102D;SUJETADOR RESPALDO;2;Units;
MECANISMO ELÉCTRICO 8102D;CABLE ALIMENTACIÓN;1;Units;
MECANISMO ELÉCTRICO 8102D;FUENTE DE ALIMENTACIÓN;1;Units;
MECANISMO ELÉCTRICO 8102D;CONJUNTO MOTOR - PIN - CLIP 8102D;1;Units;
TAPA MAGNUM 100X200;V2287;1,13;m;
TAPA MAGNUM 100X200;TNT 13G - 2,2M - BLANCO;1,13;m;
TAPA MAGNUM 100X200;AMINA                         ;0,8118;g;
TAPA MAGNUM 100X200;VORANOL 3943 (COPO)           ;53,5132;g;
TAPA MAGNUM 100X200;TDI (DI ISIOCANATO DE TOLUENO);328;g;
TAPA MAGNUM 100X200;GLICERINA;1,0906;g;
TAPA MAGNUM 100X200;SILICONA1 B 8228 - 594        ;9,4218;g;
TAPA MAGNUM 100X200;T9 (OCTOATO DE ESTAAÑO)       ;1,3284;g;
TAPA MAGNUM 100X200;VORANOL 3011 (POLIOL)         ;480,7824;g;
TAPA MAGNUM 100X200;CLORURO DE METILENO           ;25,0346;g;
TAPA MAGNUM 100X200;HILO VAHE POLI 80 BLANCO (copia);75,19;m;
TAPA MAGNUM 100X200;HILO VAHE 300T BLANCO (copia);0,75;g;
TAPA MAGNUM 150X190;V2287;1,6;m;
TAPA MAGNUM 150X190;TNT 13G - 2,2M - BLANCO;1,6;m;
TAPA MAGNUM 150X190;AMINA                         ;1,1484;g;
TAPA MAGNUM 150X190;VORANOL 3943 (COPO)           ;75,7016;g;
TAPA MAGNUM 150X190;TDI (DI ISIOCANATO DE TOLUENO);464;g;
TAPA MAGNUM 150X190;GLICERINA;1,5428;g;
TAPA MAGNUM 150X190;SILICONA1 B 8228 - 594        ;13,3284;g;
TAPA MAGNUM 150X190;T9 (OCTOATO DE ESTAAÑO)       ;1,8792;g;
TAPA MAGNUM 150X190;VORANOL 3011 (POLIOL)         ;680,1312;g;
TAPA MAGNUM 150X190;CLORURO DE METILENO           ;35,4148;g;
TAPA MAGNUM 150X190;HILO VAHE POLI 80 BLANCO (copia);107,14;m;
TAPA MAGNUM 150X190;HILO VAHE 300T BLANCO (copia);1,07;g;
TAPA MAGNUM 160X190;V2287;1,7;m;
TAPA MAGNUM 160X190;TNT 13G - 2,2M - BLANCO;1,7;m;
TAPA MAGNUM 160X190;AMINA                         ;1,2276;g;
TAPA MAGNUM 160X190;VORANOL 3943 (COPO)           ;80,9224;g;
TAPA MAGNUM 160X190;TDI (DI ISIOCANATO DE TOLUENO);496;g;
TAPA MAGNUM 160X190;GLICERINA;1,6492;g;
TAPA MAGNUM 160X190;SILICONA1 B 8228 - 594        ;14,2476;g;
TAPA MAGNUM 160X190;T9 (OCTOATO DE ESTAAÑO)       ;2,0088;g;
TAPA MAGNUM 160X190;VORANOL 3011 (POLIOL)         ;727,0368;g;
TAPA MAGNUM 160X190;CLORURO DE METILENO           ;37,8572;g;
TAPA MAGNUM 160X190;HILO VAHE POLI 80 BLANCO (copia);114,29;m;
TAPA MAGNUM 160X190;HILO VAHE 300T BLANCO (copia);1,14;g;
BANDA-TMAGN100200-ALTO34;V368;1,24;m;
BANDA-TMAGN100200-ALTO34;TNT 13G - 2,2M - BLANCO;1,24;m;
BANDA-TMAGN100200-ALTO34;VIVO NEGRO BASTON GRIS 35MM;1,6;m;
BANDA-TMAGN100200-ALTO34;AMINA                         ;0,093;g;
BANDA-TMAGN100200-ALTO34;VORANOL 3943 (COPO)           ;6,17;g;
BANDA-TMAGN100200-ALTO34;TDI (DI ISIOCANATO DE TOLUENO);43,059;g;
BANDA-TMAGN100200-ALTO34;GLICERINA;0,123;g;
BANDA-TMAGN100200-ALTO34;PASTA AZUL;0,129;g;
BANDA-TMAGN100200-ALTO34;T9 (OCTOATO DE ESTAAÑO)       ;0,154;g;
BANDA-TMAGN100200-ALTO34;VORANOL 3011 (POLIOL)         ;55,013;g;
BANDA-TMAGN100200-ALTO34;CLORURO DE METILENO           ;5,527;g;
BANDA-TMAGN100200-ALTO34;SILICONA2 - B 8123 / 580      ;1,136;g;
BANDA-TMAGN100200-ALTO34;HILO VAHE POLI 80 BLANCO (copia);167,4;m;
BANDA-TMAGN100200-ALTO34;HILO VAHE 300T BLANCO (copia);2,79;g;
BANDA-TMAGN100200-ALTO34;AIREADORES PLASTICOS;4;Units;
BANDA-TMAGN150190-ALTO34;V368;1,4;m;
BANDA-TMAGN150190-ALTO34;TNT 13G - 2,2M - BLANCO;1,4;m;
BANDA-TMAGN150190-ALTO34;VIVO NEGRO BASTON GRIS 35MM;1,6;m;
BANDA-TMAGN150190-ALTO34;AMINA                         ;0,1116;g;
BANDA-TMAGN150190-ALTO34;VORANOL 3943 (COPO)           ;7,404;g;
BANDA-TMAGN150190-ALTO34;TDI (DI ISIOCANATO DE TOLUENO);51,6708;g;
BANDA-TMAGN150190-ALTO34;GLICERINA;0,1476;g;
BANDA-TMAGN150190-ALTO34;PASTA AZUL;0,1548;g;
BANDA-TMAGN150190-ALTO34;T9 (OCTOATO DE ESTAAÑO)       ;0,1848;g;
BANDA-TMAGN150190-ALTO34;VORANOL 3011 (POLIOL)         ;66,0156;g;
BANDA-TMAGN150190-ALTO34;CLORURO DE METILENO           ;6,6324;g;
BANDA-TMAGN150190-ALTO34;SILICONA2 - B 8123 / 580      ;1,3632;g;
BANDA-TMAGN150190-ALTO34;HILO VAHE POLI 80 BLANCO (copia);187,94;m;
BANDA-TMAGN150190-ALTO34;HILO VAHE 300T BLANCO (copia);3,13;g;
BANDA-TMAGN150190-ALTO34;AIREADORES PLASTICOS;4;Units;
BANDA-TMAGN160190-ALTO34;V368;1,59;m;
BANDA-TMAGN160190-ALTO34;TNT 13G - 2,2M - BLANCO;1,59;m;
BANDA-TMAGN160190-ALTO34;VIVO NEGRO BASTON GRIS 35MM;1,6;m;
BANDA-TMAGN160190-ALTO34;AMINA                         ;0,1209;g;
BANDA-TMAGN160190-ALTO34;VORANOL 3943 (COPO)           ;8,021;g;
BANDA-TMAGN160190-ALTO34;TDI (DI ISIOCANATO DE TOLUENO);55,9767;g;
BANDA-TMAGN160190-ALTO34;GLICERINA;0,1599;g;
BANDA-TMAGN160190-ALTO34;PASTA AZUL;0,1677;g;
BANDA-TMAGN160190-ALTO34;T9 (OCTOATO DE ESTAAÑO)       ;0,2002;g;
BANDA-TMAGN160190-ALTO34;VORANOL 3011 (POLIOL)         ;71,5169;g;
BANDA-TMAGN160190-ALTO34;CLORURO DE METILENO           ;7,1851;g;
BANDA-TMAGN160190-ALTO34;SILICONA2 - B 8123 / 580      ;1,4768;g;
BANDA-TMAGN160190-ALTO34;HILO VAHE POLI 80 BLANCO (copia);214,4;m;
BANDA-TMAGN160190-ALTO34;HILO VAHE 300T BLANCO (copia);3,57;g;
BANDA-TMAGN160190-ALTO34;AIREADORES PLASTICOS;4;Units;
TAP-TMANG-VIGGO10020028E;V368;1,24;m;
TAP-TMANG-VIGGO10020028E;TNT 13G - 2,2M - BLANCO;3,5;m;
TAP-TMANG-VIGGO10020028E;VIVO NEGRO BASTON GRIS 35MM;26,6;m;
TAP-TMANG-VIGGO10020028E;AMINA                         ;10,7366;g;
TAP-TMANG-VIGGO10020028E;VORANOL 3943 (COPO)           ;1289,0414;g;
TAP-TMANG-VIGGO10020028E;TDI (DI ISIOCANATO DE TOLUENO);2515,764;g;
TAP-TMANG-VIGGO10020028E;GLICERINA;2,3042;g;
TAP-TMANG-VIGGO10020028E;PASTA AZUL;3,154;g;
TAP-TMANG-VIGGO10020028E;T9 (OCTOATO DE ESTAAÑO)       ;10,5108;g;
TAP-TMANG-VIGGO10020028E;VORANOL 3011 (POLIOL)         ;3758,2728;g;
TAP-TMANG-VIGGO10020028E;CLORURO DE METILENO           ;55,5962;g;
